model,file,bleu,chrf2,comet,cometkiwi,lines,urls,usernames,hashtags,urls_per_line,usernames_per_line,hashtags_per_line,guideline,model_name,model_id,guideline_id,corpus,corpus_id,total_sents
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.rocsmt.out.postproc,40.42339899915184,55.59536799031469,75.11372747123242,70.34305200427771,4000,1109,497,7170,0.27725,0.12425,1.7925, + RoCS-MT,LLaMa-3.1-8B + RoCS-MT,1,3,FooTweets,2,4000
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.footweets.out.postproc,41.16478057101142,55.95232847284014,76.32561386115849,71.29063715189695,4000,1128,522,7311,0.282,0.1305,1.82775, + FooTweets,LLaMa-3.1-8B + FooTweets,1,4,FooTweets,2,4000
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.mmtc.out.postproc,40.238792916421225,53.989449911961295,75.18918559923769,70.61960798352956,4000,1155,536,7329,0.28875,0.134,1.83225, + MMTC,LLaMa-3.1-8B + MMTC,1,5,FooTweets,2,4000
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.pfsmb.out.postproc,41.65299807561399,56.45695877674163,77.58820508271455,72.6126921840012,4000,1148,560,7421,0.287,0.14,1.85525, + PFSMB,LLaMa-3.1-8B + PFSMB,1,6,FooTweets,2,4000
google/gemma-2-9b-it,detok.twitter.sent.en.txt.default.out.postproc,43.39511444342299,56.49614102168235,83.21802773922681,79.41345047801734,4000,1144,494,7128,0.286,0.1235,1.782,,Gemma-2-9B,2,0,FooTweets,2,4000
google/gemma-2-9b-it,detok.twitter.sent.en.txt.rocsmt.out.postproc,45.6587893285684,58.78451999959583,84.9203752361238,79.9654624953866,4000,1231,572,7647,0.30775,0.143,1.91175, + RoCS-MT,Gemma-2-9B + RoCS-MT,2,3,FooTweets,2,4000
google/gemma-2-9b-it,detok.twitter.sent.en.txt.footweets.out.postproc,47.54187565758068,60.48033778271626,85.60270406901836,79.6812283091247,4000,1260,597,7874,0.315,0.14925,1.9685, + FooTweets,Gemma-2-9B + FooTweets,2,4,FooTweets,2,4000
google/gemma-2-9b-it,detok.twitter.sent.en.txt.mmtc.out.postproc,46.9507885017882,58.98623764834044,85.27151354774833,79.89401373639703,4000,1268,595,7950,0.317,0.14875,1.9875, + MMTC,Gemma-2-9B + MMTC,2,5,FooTweets,2,4000
google/gemma-2-9b-it,detok.twitter.sent.en.txt.pfsmb.out.postproc,49.29364400977136,62.80392896021257,86.19652248248458,78.81344364807009,4000,1265,597,7871,0.31625,0.14925,1.96775, + PFSMB,Gemma-2-9B + PFSMB,2,6,FooTweets,2,4000
Unbabel/TowerInstruct-7B-v0.2,detok.twitter.sent.en.txt.default.out.postproc,46.07489305500667,60.88121912453156,85.25426808856427,78.11201820224524,4000,1259,597,7965,0.31475,0.14925,1.99125,,Tower-7B-v0.2,3,0,FooTweets,2,4000
Unbabel/TowerInstruct-7B-v0.2,detok.twitter.sent.en.txt.rocsmt.out.postproc,47.24429448671602,61.85249844657142,85.84012613743543,78.21281253397466,4000,1260,598,8265,0.315,0.1495,2.06625, + RoCS-MT,Tower-7B-v0.2 + RoCS-MT,3,3,FooTweets,2,4000
Unbabel/TowerInstruct-7B-v0.2,detok.twitter.sent.en.txt.footweets.out.postproc,47.45332608785799,61.92185786341919,85.84952898472548,78.31521098986268,4000,1261,599,8261,0.31525,0.14975,2.06525, + FooTweets,Tower-7B-v0.2 + FooTweets,3,4,FooTweets,2,4000
Unbabel/TowerInstruct-7B-v0.2,detok.twitter.sent.en.txt.mmtc.out.postproc,47.42746112822976,61.88389880881261,85.82031246647239,78.11752439886331,4000,1260,598,8260,0.315,0.1495,2.065, + MMTC,Tower-7B-v0.2 + MMTC,3,5,FooTweets,2,4000
Unbabel/TowerInstruct-7B-v0.2,detok.twitter.sent.en.txt.pfsmb.out.postproc,47.54115534133435,62.07441440690984,85.82236471176148,77.96870145499706,4000,1261,598,8024,0.31525,0.1495,2.006, + PFSMB,Tower-7B-v0.2 + PFSMB,3,6,FooTweets,2,4000
facebook/nllb-200-3.3B,test.fr-en.fr.out.postproc,52.80327018165816,67.97797903543116,86.5358959287405,79.51874260455371,2000,2,1823,37,0.001,0.9115,0.0185,,NLLB-3B,0,0,MMTC,4,2000
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.default.out.postproc,38.64050313619716,55.63987822670696,77.0113385617733,76.08415336608887,2000,1,547,33,0.0005,0.2735,0.0165,,LLaMa-3.1-8B,1,0,MMTC,4,2000
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.rocsmt.out.postproc,46.15072816182343,62.56190944329288,81.25449932813645,76.88780480027198,2000,1,1224,36,0.0005,0.612,0.018, + RoCS-MT,LLaMa-3.1-8B + RoCS-MT,1,3,MMTC,4,2000
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.footweets.out.postproc,50.7041685393666,66.4648308987624,84.05107556432485,77.75927189588546,2000,1,1537,39,0.0005,0.7685,0.0195, + FooTweets,LLaMa-3.1-8B + FooTweets,1,4,MMTC,4,2000
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.mmtc.out.postproc,49.934595860846095,65.59174401777985,82.7232359573245,76.45886284857988,2000,1,1525,40,0.0005,0.7625,0.02, + MMTC,LLaMa-3.1-8B + MMTC,1,5,MMTC,4,2000
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.pfsmb.out.postproc,49.30559580656303,65.0969724378321,83.37901541143655,77.14970549196005,2000,1,1535,39,0.0005,0.7675,0.0195, + PFSMB,LLaMa-3.1-8B + PFSMB,1,6,MMTC,4,2000
google/gemma-2-9b-it,test.fr-en.fr.default.out.postproc,40.45993752735281,56.70793698353221,77.78047895133496,77.64547811597585,2000,1,224,24,0.0005,0.112,0.012,,Gemma-2-9B,2,0,MMTC,4,2000
google/gemma-2-9b-it,test.fr-en.fr.rocsmt.out.postproc,54.60188643355991,68.41644165234202,85.47852101773023,80.17268345952034,2000,2,1208,38,0.001,0.604,0.019, + RoCS-MT,Gemma-2-9B + RoCS-MT,2,3,MMTC,4,2000
google/gemma-2-9b-it,test.fr-en.fr.footweets.out.postproc,56.70916849191195,70.10626267514594,86.43805137127639,80.36047597974539,2000,2,1319,38,0.001,0.6595,0.019, + FooTweets,Gemma-2-9B + FooTweets,2,4,MMTC,4,2000
google/gemma-2-9b-it,test.fr-en.fr.mmtc.out.postproc,56.58790117942605,70.04974067477083,86.59287812709809,80.47581919431687,2000,2,1364,40,0.001,0.682,0.02, + MMTC,Gemma-2-9B + MMTC,2,5,MMTC,4,2000
google/gemma-2-9b-it,test.fr-en.fr.pfsmb.out.postproc,54.481532208259,68.73794762582527,86.2412164285779,80.14270421117544,2000,2,1339,40,0.001,0.6695,0.02, + PFSMB,Gemma-2-9B + PFSMB,2,6,MMTC,4,2000
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.default.out.postproc,59.781906253925,73.36807478136791,88.94373089969159,81.04234959483146,2000,2,1752,40,0.001,0.876,0.02,,Tower-7B-v0.2,3,0,MMTC,4,2000
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.rocsmt.out.postproc,59.99821223382474,73.39147492380425,88.87001768052578,80.93364860117435,2000,2,1752,40,0.001,0.876,0.02, + RoCS-MT,Tower-7B-v0.2 + RoCS-MT,3,3,MMTC,4,2000
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.footweets.out.postproc,60.08229761443528,73.45378420288917,88.9209145128727,80.88299957513809,2000,2,1752,40,0.001,0.876,0.02, + FooTweets,Tower-7B-v0.2 + FooTweets,3,4,MMTC,4,2000
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.mmtc.out.postproc,60.18474360198567,73.54349166972669,88.93772005587817,80.94230995178224,2000,2,1752,40,0.001,0.876,0.02, + MMTC,Tower-7B-v0.2 + MMTC,3,5,MMTC,4,2000
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.pfsmb.out.postproc,59.84680399149648,73.28037430435391,88.85974216610192,80.92008515447378,2000,2,1752,40,0.001,0.876,0.02, + PFSMB,Tower-7B-v0.2 + PFSMB,3,6,MMTC,4,2000
facebook/nllb-200-3.3B,test.fr.out.postproc,37.06459440651536,52.99704343294832,73.16792193258438,69.82670234590577,777,33,64,148,0.0424710424710424,0.0823680823680823,0.1904761904761904,,NLLB-3B,0,0,PFSMB,6,777
meta-llama/Llama-3.1-8B-Instruct,test.fr.default.out.postproc,39.16743928278638,55.0216253924144,73.63645967906352,70.08054294794836,777,39,53,114,0.0501930501930501,0.0682110682110682,0.1467181467181467,,LLaMa-3.1-8B,1,0,PFSMB,6,777
meta-llama/Llama-3.1-8B-Instruct,test.fr.rocsmt.out.postproc,40.57751629631839,55.59384315431779,74.14379979230876,70.31577932174909,777,50,65,147,0.0643500643500643,0.0836550836550836,0.1891891891891892, + RoCS-MT,LLaMa-3.1-8B + RoCS-MT,1,3,PFSMB,6,777
meta-llama/Llama-3.1-8B-Instruct,test.fr.footweets.out.postproc,41.8455574735884,56.23732697496244,74.36161952205913,69.9872206690382,777,50,67,152,0.0643500643500643,0.0862290862290862,0.1956241956241956, + FooTweets,LLaMa-3.1-8B + FooTweets,1,4,PFSMB,6,777
meta-llama/Llama-3.1-8B-Instruct,test.fr.mmtc.out.postproc,40.66679354223255,54.91641334248251,71.78669499767946,67.49556933168893,777,49,64,147,0.063063063063063,0.0823680823680823,0.1891891891891892, + MMTC,LLaMa-3.1-8B + MMTC,1,5,PFSMB,6,777
meta-llama/Llama-3.1-8B-Instruct,test.fr.pfsmb.out.postproc,41.33646049503035,55.772334587617735,73.06592676361862,68.44739701066699,777,50,68,142,0.0643500643500643,0.0875160875160875,0.1827541827541827, + PFSMB,LLaMa-3.1-8B + PFSMB,1,6,PFSMB,6,777
google/gemma-2-9b-it,test.fr.default.out.postproc,42.969244001744336,59.67235826525816,78.87994987240477,75.16540057640738,777,25,42,140,0.0321750321750321,0.054054054054054,0.1801801801801801,,Gemma-2-9B,2,0,PFSMB,6,777
google/gemma-2-9b-it,test.fr.rocsmt.out.postproc,43.86705697520098,61.37323038879645,80.29063241975801,75.47846346364825,777,50,65,159,0.0643500643500643,0.0836550836550836,0.2046332046332046, + RoCS-MT,Gemma-2-9B + RoCS-MT,2,3,PFSMB,6,777
google/gemma-2-9b-it,test.fr.footweets.out.postproc,45.000279960296496,62.14378910070352,80.50064597580884,75.09743011672832,777,50,65,162,0.0643500643500643,0.0836550836550836,0.2084942084942085, + FooTweets,Gemma-2-9B + FooTweets,2,4,PFSMB,6,777
google/gemma-2-9b-it,test.fr.mmtc.out.postproc,45.2419249303123,62.22945204419993,80.63992809988511,75.23870255265918,777,50,66,165,0.0643500643500643,0.0849420849420849,0.2123552123552123, + MMTC,Gemma-2-9B + MMTC,2,5,PFSMB,6,777
google/gemma-2-9b-it,test.fr.pfsmb.out.postproc,46.09177323931512,62.31016236600483,80.51182103356493,74.95348619985151,777,50,65,165,0.0643500643500643,0.0836550836550836,0.2123552123552123, + PFSMB,Gemma-2-9B + PFSMB,2,6,PFSMB,6,777
Unbabel/TowerInstruct-7B-v0.2,test.fr.default.out.postproc,45.58762669528654,61.06929823185585,79.05335896954114,74.36879613991717,777,52,69,166,0.0669240669240669,0.0888030888030888,0.2136422136422136,,Tower-7B-v0.2,3,0,PFSMB,6,777
Unbabel/TowerInstruct-7B-v0.2,test.fr.rocsmt.out.postproc,46.01199552585084,61.327016640998686,79.18211056382192,74.2315927028963,777,52,69,168,0.0669240669240669,0.0888030888030888,0.2162162162162162, + RoCS-MT,Tower-7B-v0.2 + RoCS-MT,3,3,PFSMB,6,777
Unbabel/TowerInstruct-7B-v0.2,test.fr.footweets.out.postproc,46.09044163619438,61.43951187477823,79.31781857246905,74.29891711956745,777,52,69,168,0.0669240669240669,0.0888030888030888,0.2162162162162162, + FooTweets,Tower-7B-v0.2 + FooTweets,3,4,PFSMB,6,777
Unbabel/TowerInstruct-7B-v0.2,test.fr.mmtc.out.postproc,45.69034216834185,61.198287137573146,79.02635778162623,74.12837478338214,777,52,69,168,0.0669240669240669,0.0888030888030888,0.2162162162162162, + MMTC,Tower-7B-v0.2 + MMTC,3,5,PFSMB,6,777
Unbabel/TowerInstruct-7B-v0.2,test.fr.pfsmb.out.postproc,45.8035120683846,61.0923839618908,79.04328433089582,74.20611339723128,777,52,69,168,0.0669240669240669,0.0888030888030888,0.2162162162162162, + PFSMB,Tower-7B-v0.2 + PFSMB,3,6,PFSMB,6,777
